Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Jeric&oacute;,2507408,jericoense,KADSON VALBERTO LOPES MONTEIRO,177.356,7516,42.38,7728,99.35,0.603,13.33,48804329.07,46628953.67,9844.33,
Jo&atilde;o Pessoa,2507507,pessoense,CICERO DE LUCENA FILHO,210.044,833932,3970.27,897633,97.57,0.763,12.58,4800808170.95,4541626554.45,26936.78,
Juarez T&aacute;vora,2507606,tavorense,WILSON EVANGELISTA FEITOSA,75.678,7796,103.02,8088,98.93,0.579,19.23,46709769.12,43936447.94,9124.1,
Juazeirinho,2507705,juazeirinhense,ANNA VIRGINIA DE BRITO MATIAS,474.606,17007,35.83,17520,98.61,0.567,32.14,116726656.35,103868537.03,11417.26,
Junco do Serid&oacute;,2507804,juncoense,PAULO NEIDE MELO FRAGOSO,180.425,6793,37.65,7019,99.46,0.617,18.18,47559629.26,43281073.81,13346.55,
Juripiranga,2507903,juripiranguense,ANTONIO MAROJA GUEDES FILHO,78.706,10012,127.21,10255,98.29,0.548,7.94,75474264.99,65324478.91,10836.82,
Juru,2508000,juruense,SOLANGE MARIA FELIX BARBOSA,395.075,9234,23.37,9380,99.28,0.570,-,58626451.65,56660682.37,8876.57,
Lagoa,2508109,lagoense,MARIA RODRIGUES LINHARES DE LIMA,176.649,4415,24.99,4489,96.26,0.563,21.28,37084042.22,32578517.21,11041.33,
Lagoa de Dentro,2508208,lagoa-dentrense,CAMAF DOUGLAS DA SILVA MOREIRA,83.508,7819,93.63,8123,98.23,0.570,19.05,55595907.23,51945490.48,10773.37,
Lagoa Seca,2508307,lagoa-sequense,MICHELLE RIBEIRO DO NASCIMENTO,108.219,27730,256.24,29209,98.82,0.627,6.19,139930136.74,140439526.82,11171.49,
Lastro,2508406,lastrense,RONALDO GONCALVES SOARES SOBRINHO,107.416,3162,29.44,3316,100,0.533,-,34873236.6,33098924.89,10932.15,
Livramento,2508505,livramentense,ERNANDES BARBOZA N&Oacute;BREGA,266.948,6877,25.76,7041,99.25,0.566,10.75,44352213.17,40132645.92,9629.25,
Logradouro,2508554,logradourense,JOS&Eacute; MARINALDO DA CRUZ,42.876,4797,111.88,5107,100,0.583,57.14,40073795.7,38140259.72,11041.91,
Lucena,2508604,lucenense,LEOMAX DA COSTA BANDEIRA,93.800,12560,133.90,13088,97.75,0.583,5.52,80861737.83,85275516.02,16716.6,
M&atilde;e d'&Aacute;gua,2508703,m&atilde;e-daguense,JUCELIO PEREIRA MOURA,228.676,3583,15.67,3599,99.26,0.542,32.26,32692971.03,29486276.2,9680.02,
Malta,2508802,maltense,ANA MARIA PEIXOTO DE ARAUJO,172.010,6046,35.15,6288,99.29,0.642,-,42560890.7,39826109.25,13865.76,
Mamanguape,2508901,mamanguapense,JOAQUIM FERNANDES DE OLIVEIRA NETO,337.434,44599,132.17,46966,97.01,0.585,13.62,216420176.85,202632619.62,17737.3,
Mana&iacute;ra,2509008,manairense,MANOEL VIRGULINO SIM&Atilde;O,352.025,10434,29.64,10699,98.15,0.543,16.95,55619790.96,52590275.34,9230.77,
Marca&ccedil;&atilde;o,2509057,marca&ccedil;&atilde;oense,ELLYS S&Ocirc;NIA OLIVEIRA GOMES DA SILVA,122.665,8999,73.36,9537,99.37,0.529,17.75,55078014.76,53670239.63,10938.7,
Mari,2509107,mariense,LUCIA DE FATIMA SANTOS DA SILVA,155.265,21512,138.55,22170,100,0.548,-,95099322.18,92147040.28,11043.96,
